title,Percentage of positive
We Cannot Tolerate Legal and Personal Attacks on Journalists For Doing Their Jobs,1.0
"This High School Teacher Urged People To Vote For Trump So Muslims Can Be \"Butchered\"",1.0
Trump never asked Comey to stop investigating Flynn,1.0
Trump: We will ‘take care of’ violent crimes against police,1.0
Ivanka Trump Named ‘Assistant to the President’ in New Role,1.0
Analysis | Trump called the news media an ‘enemy of the American People.’ Here’s a history of the term.,1.0
Peter Schweizer: Jeff Sessions Ending DOJ Handouts to Activist Groups ‘a Tremendous Victory’,1.0
Russian hackers are using tainted leaks to sow disinformation,1.0
Las Vegas Women’s March pivots from feminist protest to politics,1.0
CIA puts almost 12 million declassified files online for the first time,1.0
